Sanidad,w.length,promedio
Enfermas,618.232,4.79546729
Enfermas,618.708,4.777523364
Enfermas,619.184,4.758785047
Enfermas,619.661,4.740186916
Enfermas,620.137,4.723271028
Enfermas,620.613,4.705046729
Enfermas,621.089,4.688411215
Enfermas,621.566,4.67453271
Enfermas,622.042,4.660700935
Enfermas,622.518,4.645841121
Enfermas,622.995,4.632102804
Enfermas,623.471,4.619766355
Enfermas,623.948,4.608411215
Enfermas,624.424,4.597943925
Enfermas,624.901,4.586915888
Enfermas,625.378,4.576448598
Enfermas,625.854,4.567429907
Enfermas,626.331,4.557757009
Enfermas,626.808,4.547383178
Enfermas,627.285,4.539485981
Enfermas,627.761,4.530046729
Enfermas,628.238,4.520280374
Enfermas,628.715,4.511542056
Enfermas,629.192,4.503831776
Enfermas,629.669,4.49546729
Enfermas,630.146,4.486775701
Enfermas,630.623,4.47728972
Enfermas,631.1,4.469065421
Enfermas,631.577,4.461028037
Enfermas,632.054,4.451869159
Enfermas,632.532,4.442897196
Enfermas,633.009,4.433598131
Enfermas,633.486,4.422990654
Enfermas,633.963,4.412850467
Enfermas,634.441,4.403317757
Enfermas,634.918,4.392476636
Enfermas,635.396,4.381261682
Enfermas,635.873,4.369158879
Enfermas,636.351,4.355747664
Enfermas,636.828,4.342056075
Enfermas,637.306,4.328785047
Enfermas,637.783,4.313738318
Enfermas,638.261,4.297897196
Enfermas,638.739,4.281915888
Enfermas,639.217,4.266728972
Enfermas,639.694,4.249766355
Enfermas,640.172,4.233691589
Enfermas,640.65,4.216869159
Enfermas,641.128,4.199018692
Enfermas,641.606,4.181261682
Enfermas,642.084,4.164439252
Enfermas,642.562,4.14588785
Enfermas,643.04,4.127943925
Enfermas,643.518,4.110280374
Enfermas,643.996,4.092616822
Enfermas,644.474,4.072757009
Enfermas,644.952,4.055327103
Enfermas,645.431,4.036495327
Enfermas,645.909,4.019018692
Enfermas,646.387,4.000233645
Enfermas,646.866,3.982149533
Enfermas,647.344,3.966728972
Enfermas,647.822,3.950747664
Enfermas,648.301,3.93364486
Enfermas,648.779,3.916448598
Enfermas,649.258,3.900700935
Enfermas,649.737,3.885934579
Enfermas,650.215,3.87135514
Enfermas,650.694,3.857056075
Enfermas,651.173,3.843364486
Enfermas,651.651,3.830186916
Enfermas,652.13,3.817663551
Enfermas,652.609,3.803971963
Enfermas,653.088,3.792757009
Enfermas,653.567,3.779672897
Enfermas,654.046,3.767383178
Enfermas,654.525,3.75588785
Enfermas,655.004,3.74588785
Enfermas,655.483,3.735747664
Enfermas,655.962,3.725607477
Enfermas,656.441,3.717570093
Enfermas,656.92,3.709485981
Enfermas,657.399,3.700794393
Enfermas,657.878,3.693551402
Enfermas,658.358,3.684626168
Enfermas,658.837,3.677336449
Enfermas,659.316,3.671775701
Enfermas,659.796,3.666682243
Enfermas,660.275,3.661401869
Enfermas,660.755,3.65588785
Enfermas,661.234,3.650186916
Enfermas,661.714,3.645560748
Enfermas,662.193,3.640841121
Enfermas,662.673,3.636495327
Enfermas,663.153,3.632663551
Enfermas,663.633,3.628785047
Enfermas,664.112,3.628037383
Enfermas,664.592,3.625654206
Enfermas,665.072,3.623691589
Enfermas,665.552,3.622943925
Enfermas,666.032,3.625186916
Enfermas,666.512,3.625841121
Enfermas,666.992,3.625607477
Enfermas,667.472,3.626448598
Enfermas,667.952,3.628084112
Enfermas,668.432,3.631308411
Enfermas,668.912,3.634205607
Enfermas,669.392,3.639158879
Enfermas,669.872,3.644299065
Enfermas,670.353,3.651028037
Enfermas,670.833,3.658084112
Enfermas,671.313,3.66588785
Enfermas,671.794,3.675186916
Enfermas,672.274,3.686168224
Enfermas,672.755,3.697757009
Enfermas,673.235,3.710373832
Enfermas,673.716,3.723271028
Enfermas,674.196,3.737383178
Enfermas,674.677,3.750934579
Enfermas,675.158,3.766542056
Enfermas,675.638,3.78364486
Enfermas,676.119,3.799579439
Enfermas,676.6,3.816401869
Enfermas,677.081,3.834299065
Enfermas,677.561,3.85411215
Enfermas,678.042,3.876308411
Enfermas,678.523,3.897663551
Enfermas,679.004,3.921728972
Enfermas,679.485,3.944672897
Enfermas,679.966,3.970327103
Enfermas,680.447,3.99682243
Enfermas,680.929,4.024158879
Enfermas,681.41,4.053598131
Enfermas,681.891,4.085747664
Enfermas,682.372,4.119392523
Enfermas,682.854,4.15635514
Enfermas,683.335,4.195093458
Enfermas,683.816,4.237523364
Enfermas,684.298,4.283551402
Enfermas,684.779,4.333411215
Enfermas,685.261,4.387056075
Enfermas,685.742,4.446448598
Enfermas,686.224,4.508925234
Enfermas,686.705,4.57953271
Enfermas,687.187,4.657429907
Enfermas,687.669,4.738551402
Enfermas,688.151,4.827383178
Enfermas,688.632,4.923224299
Enfermas,689.114,5.027523364
Enfermas,689.596,5.139719626
Enfermas,690.078,5.260934579
Enfermas,690.56,5.390841121
Enfermas,691.042,5.529018692
Enfermas,691.524,5.678504673
Enfermas,692.006,5.833738318
Enfermas,692.488,6.000607477
Enfermas,692.97,6.180794393
Enfermas,693.452,6.372336449
Enfermas,693.935,6.574579439
Enfermas,694.417,6.790186916
Enfermas,694.899,7.018551402
Enfermas,695.381,7.261495327
Enfermas,695.864,7.517990654
Enfermas,696.346,7.788878505
Enfermas,696.829,8.072850467
Enfermas,697.311,8.368504673
Enfermas,697.794,8.679345794
Enfermas,698.276,9.005046729
Enfermas,698.759,9.342242991
Enfermas,699.242,9.694626168
Enfermas,699.724,10.06415888
Enfermas,700.207,10.44285047
Enfermas,700.69,10.8364486
Enfermas,701.173,11.24331776
Enfermas,701.656,11.66490654
Enfermas,702.138,12.10154206
Enfermas,702.621,12.54785047
Enfermas,703.104,13.00023364
Enfermas,703.587,13.47275701
Enfermas,704.07,13.94771028
Enfermas,704.554,14.44009346
Enfermas,705.037,14.94280374
Enfermas,705.52,15.45429907
Enfermas,706.003,15.97663551
Enfermas,706.486,16.50397196
Enfermas,706.97,17.04373832
Enfermas,707.453,17.58925234
Enfermas,707.936,18.13733645
Enfermas,708.42,18.695
Enfermas,708.903,19.2578972
Enfermas,709.387,19.82364486
Enfermas,709.87,20.39691589
Enfermas,710.354,20.97700935
Enfermas,710.838,21.56014019
Enfermas,711.321,22.1528972
Enfermas,711.805,22.74172897
Enfermas,712.289,23.33509346
Enfermas,712.773,23.93565421
Enfermas,713.256,24.53925234
Enfermas,713.74,25.14537383
Enfermas,714.224,25.75373832
Enfermas,714.708,26.36420561
Enfermas,715.192,26.98074766
Enfermas,715.676,27.59943925
Enfermas,716.16,28.22233645
Enfermas,716.644,28.84331776
Enfermas,717.129,29.4638785
Enfermas,717.613,30.08607477
Enfermas,718.097,30.71266355
Enfermas,718.581,31.33205607
Enfermas,719.066,31.96733645
Enfermas,719.55,32.6071028
Enfermas,720.035,33.23654206
Enfermas,720.519,33.86200935
Enfermas,721.003,34.48448598
Enfermas,721.488,35.10981308
Enfermas,721.973,35.73518692
Enfermas,722.457,36.35626168
Enfermas,722.942,36.97271028
Enfermas,723.427,37.59285047
Enfermas,723.911,38.20626168
Enfermas,724.396,38.81649533
Enfermas,724.881,39.42051402
Enfermas,725.366,40.02140187
Enfermas,725.851,40.62037383
Enfermas,726.336,41.20766355
Enfermas,726.821,41.79663551
Enfermas,727.306,42.37859813
Enfermas,727.791,42.94981308
Enfermas,728.276,43.52088785
Enfermas,728.761,44.0821028
Enfermas,729.246,44.63920561
Enfermas,729.731,45.18775701
Enfermas,730.217,45.73093458
Enfermas,730.702,46.26294393
Enfermas,731.187,46.79093458
Enfermas,731.673,47.30425234
Enfermas,732.158,47.81579439
Enfermas,732.644,48.31233645
Enfermas,733.129,48.80453271
Enfermas,733.615,49.28439252
Enfermas,734.1,49.75224299
Enfermas,734.586,50.21668224
Enfermas,735.072,50.67280374
Enfermas,735.558,51.11490654
Enfermas,736.043,51.54186916
Enfermas,736.529,51.95607477
Enfermas,737.015,52.36406542
Enfermas,737.501,52.75752336
Enfermas,737.987,53.13864486
Enfermas,738.473,53.50761682
Enfermas,738.959,53.86841121
Enfermas,739.445,54.22182243
Enfermas,739.931,54.56392523
Enfermas,740.417,54.88911215
Enfermas,740.903,55.20892523
Enfermas,741.39,55.51728972
Enfermas,741.876,55.81481308
Enfermas,742.362,56.10056075
Enfermas,742.849,56.38126168
Enfermas,743.335,56.64714953
Enfermas,743.821,56.90878505
Enfermas,744.308,57.15990654
Enfermas,744.795,57.40191589
Enfermas,745.281,57.63425234
Enfermas,745.768,57.86126168
Enfermas,746.254,58.07957944
Enfermas,746.741,58.28981308
Enfermas,747.228,58.49252336
Enfermas,747.715,58.68981308
Enfermas,748.201,58.87766355
Enfermas,748.688,59.06037383
Enfermas,749.175,59.23579439
Enfermas,749.662,59.40485981
Enfermas,750.149,59.56808411
Enfermas,750.636,59.72196262
Enfermas,751.123,59.87252336
Enfermas,751.61,60.0164486
Enfermas,752.097,60.15439252
Enfermas,752.585,60.28794393
Enfermas,753.072,60.41649533
Enfermas,753.559,60.53939252
Enfermas,754.047,60.65523364
Enfermas,754.534,60.76771028
Enfermas,755.021,60.87607477
Enfermas,755.509,60.97728972
Enfermas,755.996,61.07523364
Enfermas,756.484,61.16738318
Enfermas,756.971,61.25714953
Enfermas,757.459,61.34074766
Enfermas,757.947,61.42009346
Enfermas,758.434,61.49775701
Enfermas,758.922,61.56845794
Enfermas,759.41,61.63841121
Enfermas,759.898,61.70303738
Enfermas,760.386,61.76495327
Enfermas,760.874,61.82434579
Enfermas,761.362,61.87939252
Enfermas,761.85,61.93285047
Enfermas,762.338,61.98359813
Enfermas,762.826,62.03098131
Enfermas,763.314,62.07738318
Enfermas,763.802,62.12014019
Enfermas,764.29,62.16079439
Enfermas,764.778,62.20018692
Enfermas,765.267,62.23901869
Enfermas,765.755,62.27275701
Enfermas,766.243,62.30626168
Enfermas,766.732,62.33649533
Enfermas,767.22,62.36626168
Enfermas,767.709,62.39443925
Enfermas,768.197,62.42266355
Enfermas,768.686,62.44962617
Enfermas,769.175,62.47411215
Enfermas,769.663,62.4961215
Enfermas,770.152,62.51817757
Enfermas,770.641,62.54102804
Enfermas,771.13,62.55957944
Enfermas,771.619,62.58014019
Enfermas,772.107,62.59714953
Enfermas,772.596,62.61425234
Enfermas,773.085,62.6296729
Enfermas,773.574,62.64429907
Enfermas,774.063,62.66130841
Enfermas,774.553,62.67691589
Enfermas,775.042,62.6917757
Enfermas,775.531,62.70626168
Enfermas,776.02,62.71864486
Enfermas,776.509,62.73126168
Enfermas,776.999,62.74336449
Enfermas,777.488,62.75271028
Enfermas,777.978,62.76406542
Enfermas,778.467,62.77429907
Enfermas,778.957,62.78794393
Enfermas,779.446,62.79700935
Enfermas,779.936,62.80640187
Enfermas,780.425,62.81799065
Enfermas,780.915,62.82836449
Enfermas,781.405,62.83775701
Enfermas,781.894,62.84817757
Enfermas,782.384,62.85934579
Enfermas,782.874,62.86985981
Enfermas,783.364,62.88
Enfermas,783.854,62.88962617
Enfermas,784.344,62.89934579
Enfermas,784.834,62.91084112
Enfermas,785.324,62.91939252
Enfermas,785.814,62.93
Enfermas,786.304,62.93920561
Enfermas,786.794,62.94901869
Enfermas,787.285,62.96074766
Enfermas,787.775,62.96971963
Enfermas,788.265,62.97845794
Enfermas,788.756,62.98714953
Enfermas,789.246,62.99630841
Enfermas,789.736,63.00560748
Enfermas,790.227,63.01509346
Enfermas,790.717,63.02439252
Enfermas,791.208,63.0335514
Enfermas,791.699,63.04252336
Enfermas,792.189,63.05028037
Enfermas,792.68,63.05794393
Enfermas,793.171,63.06570093
Enfermas,793.662,63.07299065
Enfermas,794.152,63.07995327
Enfermas,794.643,63.0871028
Enfermas,795.134,63.09476636
Enfermas,795.625,63.10200935
Enfermas,796.116,63.10766355
Enfermas,796.607,63.11457944
Enfermas,797.098,63.12004673
Enfermas,797.59,63.12654206
Enfermas,798.081,63.1338785
Enfermas,798.572,63.14121495
Enfermas,799.063,63.14742991
Enfermas,799.555,63.15415888
Enfermas,800.046,63.15990654
Enfermas,800.537,63.16593458
Sanas,450.089,4.210330189
Sanas,450.553,4.198915094
Sanas,451.017,4.188867925
Sanas,451.48,4.177735849
Sanas,451.944,4.16745283
Sanas,452.408,4.159198113
Sanas,452.872,4.152641509
Sanas,453.335,4.146981132
Sanas,453.799,4.135801887
Sanas,454.263,4.120518868
Sanas,454.727,4.113349057
Sanas,455.191,4.112971698
Sanas,455.655,4.105188679
Sanas,456.119,4.100754717
Sanas,456.583,4.095141509
Sanas,457.047,4.092877358
Sanas,457.511,4.0925
Sanas,457.975,4.090943396
Sanas,458.439,4.085801887
Sanas,458.904,4.084056604
Sanas,459.368,4.083679245
Sanas,459.832,4.081415094
Sanas,460.296,4.088207547
Sanas,460.761,4.086603774
Sanas,461.225,4.087971698
Sanas,461.689,4.082264151
Sanas,462.154,4.080943396
Sanas,462.618,4.075707547
Sanas,463.083,4.068113208
Sanas,463.547,4.071415094
Sanas,464.012,4.066037736
Sanas,464.476,4.059339623
Sanas,464.941,4.052971698
Sanas,465.406,4.043773585
Sanas,465.87,4.033773585
Sanas,466.335,4.031084906
Sanas,466.8,4.024575472
Sanas,467.265,4.013820755
Sanas,467.729,4.005377358
Sanas,468.194,3.994009434
Sanas,468.659,3.991226415
Sanas,469.124,3.985235849
Sanas,469.589,3.978490566
Sanas,470.054,3.981839623
Sanas,470.519,3.976367925
Sanas,470.984,3.973066038
Sanas,471.449,3.974386792
Sanas,471.914,3.972641509
Sanas,472.379,3.964716981
Sanas,472.845,3.952122642
Sanas,473.31,3.952688679
Sanas,473.775,3.950566038
Sanas,474.24,3.940330189
Sanas,474.706,3.942169811
Sanas,475.171,3.940330189
Sanas,475.636,3.939811321
Sanas,476.102,3.938867925
Sanas,476.567,3.929528302
Sanas,477.033,3.924858491
Sanas,477.498,3.926367925
Sanas,477.964,3.918867925
Sanas,478.429,3.911415094
Sanas,478.895,3.898915094
Sanas,479.36,3.895849057
Sanas,479.826,3.893018868
Sanas,480.292,3.883537736
Sanas,480.757,3.877877358
Sanas,481.223,3.871933962
Sanas,481.689,3.86259434
Sanas,482.155,3.858915094
Sanas,482.621,3.854764151
Sanas,483.087,3.850801887
Sanas,483.553,3.845566038
Sanas,484.019,3.839622642
Sanas,484.485,3.836415094
Sanas,484.951,3.841933962
Sanas,485.417,3.841839623
Sanas,485.883,3.84240566
Sanas,486.349,3.84495283
Sanas,486.815,3.84759434
Sanas,487.281,3.845141509
Sanas,487.747,3.84
Sanas,488.214,3.844811321
Sanas,488.68,3.844716981
Sanas,489.146,3.838679245
Sanas,489.613,3.834339623
Sanas,490.079,3.83490566
Sanas,490.546,3.835377358
Sanas,491.012,3.833773585
Sanas,491.478,3.838207547
Sanas,491.945,3.849433962
Sanas,492.412,3.854009434
Sanas,492.878,3.856698113
Sanas,493.345,3.863962264
Sanas,493.811,3.865707547
Sanas,494.278,3.87009434
Sanas,494.745,3.871273585
Sanas,495.212,3.87759434
Sanas,495.678,3.886037736
Sanas,496.145,3.892169811
Sanas,496.612,3.901698113
Sanas,497.079,3.910801887
Sanas,497.546,3.92
Sanas,498.013,3.933679245
Sanas,498.48,3.943207547
Sanas,498.947,3.955849057
Sanas,499.414,3.973301887
Sanas,499.881,3.990283019
Sanas,500.348,4.006226415
Sanas,500.815,4.026037736
Sanas,501.283,4.048679245
Sanas,501.75,4.07240566
Sanas,502.217,4.094339623
Sanas,502.684,4.119716981
Sanas,503.152,4.145613208
Sanas,503.619,4.172641509
Sanas,504.087,4.198537736
Sanas,504.554,4.224764151
Sanas,505.021,4.253349057
Sanas,505.489,4.28495283
Sanas,505.957,4.316698113
Sanas,506.424,4.35509434
Sanas,506.892,4.392311321
Sanas,507.359,4.431084906
Sanas,507.827,4.473632075
Sanas,508.295,4.518726415
Sanas,508.762,4.56995283
Sanas,509.23,4.613113208
Sanas,509.698,4.662122642
Sanas,510.166,4.714292453
Sanas,510.634,4.768632075
Sanas,511.102,4.822783019
Sanas,511.57,4.878584906
Sanas,512.038,4.937641509
Sanas,512.506,4.997075472
Sanas,512.974,5.063962264
Sanas,513.442,5.12990566
Sanas,513.91,5.200566038
Sanas,514.378,5.27004717
Sanas,514.846,5.341745283
Sanas,515.314,5.418773585
Sanas,515.783,5.494150943
Sanas,516.251,5.571462264
Sanas,516.719,5.652075472
Sanas,517.188,5.728962264
