Sanidad,sub,w.length,prom
HLB+,13,783.364,58.58875
HLB+,13,783.854,58.5925
HLB+,13,784.344,58.595
HLB+,13,784.834,58.60125
HLB+,13,785.324,58.605
HLB+,13,785.814,58.60625
HLB+,13,786.304,58.61
HLB+,13,786.794,58.615
HLB+,13,787.285,58.62
HLB+,13,787.775,58.62125
HLB+,13,788.265,58.62375
HLB+,13,788.756,58.62625
HLB+,13,789.246,58.63
HLB+,13,789.736,58.6325
HLB+,13,790.227,58.6375
HLB+,13,790.717,58.64
HLB+,13,791.208,58.64375
HLB+,13,791.699,58.6475
HLB+,13,792.189,58.65
HLB+,13,792.68,58.6525
HLB+,13,793.171,58.65375
HLB+,13,793.662,58.6575
HLB+,13,794.152,58.66
HLB+,13,794.643,58.6625
HLB+,13,795.134,58.66625
HLB+,13,795.625,58.6675
HLB+,13,796.116,58.67
HLB+,13,796.607,58.67125
HLB+,13,797.098,58.67625
HLB+,13,797.59,58.6775
HLB+,13,798.081,58.67875
HLB+,13,798.572,58.68125
HLB+,13,799.063,58.685
HLB+,13,799.555,58.68625
HLB+,13,800.046,58.6875
HLB+,13,800.537,58.69
HLB+,14,780.425,63.84625
HLB+,14,780.915,63.85875
HLB+,14,781.405,63.86875
HLB+,14,781.894,63.88125
HLB+,14,782.384,63.895
HLB+,14,782.874,63.90625
HLB+,14,783.364,63.92125
HLB+,14,783.854,63.93125
HLB+,14,784.344,63.94125
HLB+,14,784.834,63.955
HLB+,14,785.324,63.9675
HLB+,14,785.814,63.98125
HLB+,14,786.304,63.9875
HLB+,14,786.794,64.00125
HLB+,14,787.285,64.01375
HLB+,14,787.775,64.0225
HLB+,14,788.265,64.03375
HLB+,14,788.756,64.04375
HLB+,14,789.246,64.055
HLB+,14,789.736,64.06625
HLB+,14,790.227,64.075
HLB+,14,790.717,64.08625
HLB+,14,791.208,64.095
HLB+,14,791.699,64.10625
HLB+,14,792.189,64.115
HLB+,14,792.68,64.1225
HLB+,14,793.171,64.12875
HLB+,14,793.662,64.14
HLB+,14,794.152,64.14625
HLB+,14,794.643,64.155
HLB+,14,795.134,64.1625
HLB+,14,795.625,64.1725
HLB+,14,796.116,64.17875
HLB+,14,796.607,64.18375
HLB+,14,797.098,64.19125
HLB+,14,797.59,64.19875
HLB+,14,798.081,64.2075
HLB+,14,798.572,64.215
HLB+,14,799.063,64.22125
HLB+,14,799.555,64.23
HLB+,14,800.046,64.23375
HLB+,14,800.537,64.24125
HLB+,15,780.425,64.9125
HLB+,15,780.915,64.9275
HLB+,15,781.405,64.94
HLB+,15,781.894,64.95375
HLB+,15,782.384,64.96875
HLB+,15,782.874,64.985
HLB+,15,783.364,64.9975
HLB+,15,783.854,65.0125
HLB+,15,784.344,65.025
HLB+,15,784.834,65.04125
HLB+,15,785.324,65.05375
HLB+,15,785.814,65.06875
HLB+,15,786.304,65.0825
HLB+,15,786.794,65.0975
HLB+,15,787.285,65.115
HLB+,15,787.775,65.12875
HLB+,15,788.265,65.14
HLB+,15,788.756,65.1525
HLB+,15,789.246,65.16625
HLB+,15,789.736,65.18
HLB+,15,790.227,65.195
HLB+,15,790.717,65.2075
HLB+,15,791.208,65.2225
HLB+,15,791.699,65.23625
HLB+,15,792.189,65.24875
HLB+,15,792.68,65.26125
HLB+,15,793.171,65.27125
HLB+,15,793.662,65.28125
HLB+,15,794.152,65.29125
HLB+,15,794.643,65.30125
HLB+,15,795.134,65.31125
HLB+,15,795.625,65.32125
HLB+,15,796.116,65.33125
HLB+,15,796.607,65.34
HLB+,15,797.098,65.34625
HLB+,15,797.59,65.35625
HLB+,15,798.081,65.36625
HLB+,15,798.572,65.37875
HLB+,15,799.063,65.38875
HLB+,15,799.555,65.4
HLB+,15,800.046,65.40875
HLB+,15,800.537,65.4175
HLB+,16,780.425,59.8725
HLB+,16,780.915,59.875
HLB+,16,781.405,59.8775
HLB+,16,781.894,59.88
HLB+,16,782.384,59.88125
HLB+,16,782.874,59.885
HLB+,16,783.364,59.88875
HLB+,16,783.854,59.89125
HLB+,16,784.344,59.89375
HLB+,16,784.834,59.895
HLB+,16,785.324,59.8975
HLB+,16,785.814,59.90125
HLB+,16,786.304,59.90125
HLB+,16,786.794,59.90375
HLB+,16,787.285,59.9075
HLB+,16,787.775,59.91125
HLB+,16,788.265,59.9125
HLB+,16,788.756,59.91375
HLB+,16,789.246,59.91625
HLB+,16,789.736,59.9175
HLB+,16,790.227,59.92
HLB+,16,790.717,59.92125
HLB+,16,791.208,59.925
HLB+,16,791.699,59.9275
HLB+,16,792.189,59.92625
HLB+,16,792.68,59.9275
HLB+,16,793.171,59.93125
HLB+,16,793.662,59.93125
HLB+,16,794.152,59.93375
HLB+,16,794.643,59.935
HLB+,16,795.134,59.93625
HLB+,16,795.625,59.93875
HLB+,16,796.116,59.93875
HLB+,16,796.607,59.94125
HLB+,16,797.098,59.94125
HLB+,16,797.59,59.94375
HLB+,16,798.081,59.94375
HLB+,16,798.572,59.945
HLB+,16,799.063,59.94625
HLB+,16,799.555,59.9475
HLB+,16,800.046,59.94875
HLB+,16,800.537,59.95125
HLB+,17,780.425,65.40625
HLB+,17,780.915,65.415
HLB+,17,781.405,65.42625
HLB+,17,781.894,65.4375
HLB+,17,782.384,65.45
HLB+,17,782.874,65.4625
HLB+,17,783.364,65.4725
HLB+,17,783.854,65.48375
HLB+,17,784.344,65.495
HLB+,17,784.834,65.50875
HLB+,17,785.324,65.52
HLB+,17,785.814,65.53125
HLB+,17,786.304,65.54125
HLB+,17,786.794,65.5525
HLB+,17,787.285,65.565
HLB+,17,787.775,65.57625
HLB+,17,788.265,65.5875
